,id,country,country_3,city,longitude,latitude,cohort,role
64,anjali-mazumder,United Kingdom,GBR,,,,2,mentor
65,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,expert
66,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,mentor
67,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,1,expert
68,annalee-sekulic,United States,USA,Columbus,-83.0007065,39.9622601,3,participant
69,annambiller,Germany,DEU,Munich,11.5753822,48.1371079,7,participant
70,anneclinio,Brazil,BRA,,,,1,expert
71,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,5,mentor
72,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,expert
73,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,mentor
74,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,expert
75,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,mentor
76,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,6,mentor
77,anproulx,Canada,CAN,,,,2,participant
78,anshika-sah,India,IND,New Delhi,77.2090057,28.6138954,3,participant
79,antonioggsousa,Portugal,PRT,Oeiras,-9.271300382407272,38.7124971,3,participant
80,arentkievits,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,4,participant
81,ariana-bethany-subroyen,,,,,,6,participant
82,arianna-cortesi,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,7,participant
83,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,5,mentor
84,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,expert
85,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,mentor
86,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,3,expert
87,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,expert
88,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,mentor
89,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,expert
90,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,mentor
91,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,7,mentor
92,arvinpreet-kaur,India,IND,,,,3,participant
93,ashutosh-tiwari,India,IND,"Bilaspur, Chhattisgarh",82.1476475,22.0785627,3,participant
94,astroakanksha24,India,IND,,,,5,participant
95,augustincaitlin,United States,USA,Orlando,-81.3790304,28.5421109,4,participant
96,aurigandrea,,,,,,5,participant
97,ayeshadunk,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,participant
98,aymd23,Nigeria,NGA,Ibadan,3.8972497,7.3777462,7,participant
99,b14-rsa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
100,babari-a-babari-michelle-freddia,Cameroon,CMR,Yaoundé,11.5213344,3.8689867,7,participant
101,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,5,participant
102,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,6,participant
103,bailey-harrington,United States,USA,,,,2,participant
104,bakary-n'tji diallo,Mali,MLI,,,,2,participant
105,banshee1221,South Africa,ZAF,,,,2,participant
106,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,facilitator
107,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,mentor
108,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,3,participant
109,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,facilitator
110,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,participant
111,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,expert
112,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,facilitator
113,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,mentor
114,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,2,expert
115,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,expert
116,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,mentor
117,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,expert
118,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,mentor
119,beapdk,Canada,CAN,,,,2,participant
120,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,5,mentor
121,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,2,participant
122,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,3,expert
123,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,7,participant
124,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,5,organizer
125,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,expert
126,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,organizer
127,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,expert
128,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,organizer
129,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
130,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
131,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
132,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
133,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,expert
134,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,organizer
135,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,mentor
136,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,1,organizer
137,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,6,organizer
138,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,8,organizer
139,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,organizer
140,bgruening,Germany,DEU,,,,2,expert
141,bgruening,Germany,DEU,,,,1,expert
142,bgruening,Germany,DEU,,,,1,mentor
143,bhuvanameenakshik,India,IND,,,,1,expert
144,billbrod,United States,USA,,,,1,participant
145,billbrod,United States,USA,,,,7,mentor
146,birgül-çolak-al,Turkey,TUR,Istanbul,29.052495,41.0766019,5,participant
147,biscuitnapper,,,,,,4,participant
148,bisola15,Nigeria,NGA,Yaba,-2.8848131505798653,12.811960299999999,7,participant
149,boi-kone,Mali,MLI,,,,2,participant
150,bonetcarne,Spain,ESP,,,,1,participant
151,booktrackergirl,United Kingdom,GBR,Exeter,-3.5269497,50.7255794,7,participant
152,brainonsilicon,United Kingdom,GBR,,,,2,participant
153,brainonsilicon,United Kingdom,GBR,,,,6,participant
154,bresearcher101,,,,,,6,participant
155,bresearcher101,,,,,,7,mentor
156,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,2,mentor
157,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,3,mentor
158,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,expert
159,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,mentor
160,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,1,participant
161,bsolodzi,Ghana,GHA,"Ashaiman, Zenu",-0.0499836,5.7121199,7,participant
162,burceelbasan,Germany,DEU,,,,5,mentor
163,burceelbasan,Germany,DEU,,,,4,participant
164,burkemlou,Australia,AUS,Brisbane,-122.402794,37.687165,2,expert
165,burkemlou,Australia,AUS,Brisbane,-122.402794,37.687165,3,expert
166,burkemlou,Australia,AUS,Brisbane,-122.402794,37.687165,3,mentor
167,c-martinez,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,3,expert
168,callummole,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,participant
169,callummole,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,4,participant
170,camachoreina,France,FRA,Paris,2.3200410217200766,48.8588897,3,participant
171,camachoreina,France,FRA,Paris,2.3200410217200766,48.8588897,4,expert
172,camila-gómez,Bolivia,,Cochabamba,-66.1568983,-17.3936114,5,participant
173,carmel-carne,South Africa,ZAF,Cape Town,18.417396,-33.928992,7,participant
174,carol-o'brien,Denmark,DNK,,,,7,participant
175,carolina-giraldo-olmos,Colombia,COL,Bogota,-74.0835643,4.6529539,7,participant
176,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,5,expert
177,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,2,expert
178,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,1,participant
179,cassmurph,Ireland,IRL,,,,6,participant
180,cassmurph,Ireland,IRL,,,,7,facilitator
181,cbolibaugh,United Kingdom,GBR,York,-1.0743052444639218,53.96565785,4,participant
182,cel31,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
183,cemonks,Australia,AUS,Perth,-3.4286805,56.3958186,3,participant
184,cemonks,Australia,AUS,Perth,-3.4286805,56.3958186,4,mentor
185,cgentemann,United States,USA,Santa Rosa,-122.7141049,38.4404925,6,expert
186,chiara-damiani,,,,,,3,participant
187,chiarabertipaglia,United States,USA,,,,2,expert
188,chiarabertipaglia,United States,USA,,,,1,participant
189,christina-ambrosi,Switzerland,CHE,,,,2,participant
190,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,2,expert
191,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,3,expert
192,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,1,participant
193,chucklesongithub,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,4,participant
194,chukaogbo,Nigeria,NGA,"Abeokuta, Ogun State.",3.3467344,7.1547129,7,participant
195,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
196,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,3,participant
197,claudia-mignone,Italy,ITA,Roma,12.4829321,41.8933203,7,participant
198,codito22,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
199,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,5,participant
200,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,6,facilitator
201,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,7,mentor
202,coopersmout,Australia,AUS,Brisbane,-122.402794,37.687165,2,participant
203,coopersmout,Australia,AUS,Brisbane,-122.402794,37.687165,4,expert
204,crangelsmith,United Kingdom,GBR,,,,2,participant
205,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,2,participant
206,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,3,expert
207,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,4,facilitator
208,dadditolu,United Kingdom,GBR,Glasgow,-4.2501687,55.861155,3,participant
209,dadditolu,United Kingdom,GBR,Glasgow,-4.2501687,55.861155,6,mentor
210,danae-carelis-davila-espinoza,Bolivia,,,,,5,participant
211,daniel-kochin,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,7,participant
212,dannycolin,Canada,CAN,,,,1,participant
213,danwchan,,,New York City,-74.0060152,40.7127281,7,participant
214,darwin-diaz,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
215,dasaderi,United States,USA,,,,2,expert
216,dasaderi,United States,USA,,,,1,expert
217,dasaderi,United States,USA,,,,1,mentor
218,david-selassie-opoku,Germany,DEU,Berlin,13.3888599,52.5170365,4,expert
219,davidbeavan,United Kingdom,GBR,,,,2,participant
220,davidviryachen,Japan,JPN,,,,1,participant
221,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,expert
222,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,mentor
223,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,6,expert
224,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,2,mentor
225,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,expert
226,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,mentor
227,demellina,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,2,expert
228,demellina,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,3,expert
229,demellina,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,1,expert
230,diana-pilvar,Estonia,EST,Tartu,26.72245,58.3801207,7,participant
231,didik-utomo,Indonesia,IDN,Malang,112.6340291,-7.9771206,3,participant
232,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.43562340522388,-34.61612315,5,mentor
233,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.43562340522388,-34.61612315,4,participant
234,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.43562340522388,-34.61612315,6,mentor
235,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.43562340522388,-34.61612315,7,mentor
236,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,mentor
237,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
238,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,mentor
239,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,6,expert
240,dingaaling,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,participant
241,dlebauer,United States,USA,,,,1,participant
242,doaamkader,Egypt,EGY,Obour City,31.465685617766244,30.2288224,7,participant
243,dudova,Czechia,CZE,Brno,16.6113382,49.1922443,3,participant
244,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,3,participant
245,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,4,expert
246,dylan-bastiaans,Switzerland,CHE,,,,2,participant
247,ealescak,United States,USA,Anchorage,-149.1107333,61.1758781,3,expert
248,ealescak,United States,USA,Anchorage,-149.1107333,61.1758781,3,mentor
249,ealescak,United States,USA,Anchorage,-149.1107333,61.1758781,4,expert
250,ealescak,United States,USA,Anchorage,-149.1107333,61.1758781,4,mentor
251,ecsalomon,United States,USA,"Chicago, Il",-87.6244212,41.8755616,4,participant
252,eirini-zormpa,United Kingdom,GBR,,,,6,participant
253,eirinibotsari,Netherlands,NLD,Dem Haag,4.2696802205364515,52.07494555,5,participant
254,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,5,mentor
255,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,5,participant
256,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,2,participant
257,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,3,expert
258,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,3,mentor
259,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,4,expert
260,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,4,facilitator
261,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,4,mentor
262,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,6,expert
263,ekaroune,United Kingdom,GBR,Portsmouth,-1.0906023,50.800031,6,mentor
264,ekeluv,South Africa,ZAF,,,,2,participant
265,elena-giglia,Italy,ITA,Turin,7.6824892,45.0677551,6,participant
266,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,4,participant
267,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,6,expert
268,elsasci,United Kingdom,GBR,,,,1,participant
269,emma-anne-harris,Germany,DEU,Berlin,13.3888599,52.5170365,3,expert
270,emma-lawrence,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,3,participant
271,emma-lawrence,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,4,expert
272,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,5,participant
273,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,4,participant
274,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,6,participant
275,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,7,participant
276,emmyft,Netherlands,NLD,,,,5,organizer
277,emmyft,Netherlands,NLD,,,,5,mentor
278,emmyft,Netherlands,NLD,,,,2,expert
279,emmyft,Netherlands,NLD,,,,3,organizer
280,emmyft,Netherlands,NLD,,,,4,organizer
281,emmyft,Netherlands,NLD,,,,4,mentor
282,emmyft,Netherlands,NLD,,,,1,expert
283,emmyft,Netherlands,NLD,,,,6,organizer
284,emmyft,Netherlands,NLD,,,,8,organizer
285,emmyft,Netherlands,NLD,,,,7,organizer
286,esbusis,Turkey,TUR,Istanbul,29.052495,41.0766019,5,participant
287,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,5,mentor
288,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,3,expert
289,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,3,mentor
290,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,4,expert
291,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,4,mentor
292,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,4,mentor
293,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,6,expert
294,estherplomp,Netherlands,NLD,The Hague,4.2696802205364515,52.07494555,6,mentor
295,evaherbst,Switzerland,CHE,,,,2,participant
296,evelyngreeves,United Kingdom,GBR,,,,5,participant
297,ewa-leś,Poland,POL,,,,4,participant
298,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,5,expert
299,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,expert
300,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
301,ewuramaminka,United Kingdom,GBR,,,,1,participant
302,fabienne-lucas,United States,USA,Boston,-71.060511,42.3554334,3,participant
303,fabioperdigao,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,6,participant
304,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,5,participant
305,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,6,mentor
306,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,7,participant
307,fadanka,Cameroon,CMR,Yaounde,11.5213344,3.8689867,7,mentor
308,farukustunel,Turkey,TUR,Istanbul,29.052495,41.0766019,5,participant
309,federico-cestares,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,5,participant
310,fnyasimi,Kenya,KEN,,,,5,facilitator
311,fnyasimi,Kenya,KEN,,,,4,facilitator
312,fnyasimi,Kenya,KEN,,,,1,participant
313,fnyasimi,Kenya,KEN,,,,6,facilitator
314,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,5,mentor
315,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,5,mentor
316,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,2,expert
317,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,3,expert
318,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,3,mentor
319,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,4,expert
320,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,4,mentor
321,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,1,expert
322,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,1,mentor
323,fpsom,Greece,GRC,Thessaloniki,22.9352716,40.6403167,6,mentor
324,fredbelliard,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
325,gabimusaubach,Argentina,ARG,,,,5,participant
326,gabriela-rufino,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,7,participant
327,gareth-j,United Kingdom,GBR,Bristol,-2.5972985,51.4538022,5,participant
328,gedaloop,Spain,ESP,Barcelona,2.1774322,41.3828939,4,participant
329,gedankenstuecke,France,FRA,Paris,2.3200410217200766,48.8588897,2,expert
330,gedankenstuecke,France,FRA,Paris,2.3200410217200766,48.8588897,3,expert
331,gedankenstuecke,France,FRA,Paris,2.3200410217200766,48.8588897,1,expert
332,gemmaturon,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
333,georgiahca,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,expert
334,georgiahca,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,mentor
335,georgiahca,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,2,participant
336,georgianaelena,Romania,ROU,,,,7,expert
337,ghammad,Belgium,BEL,Liège,5.773545903524977,50.47081585,3,participant
338,gigikenneth,Nigeria,NGA,,,,7,participant
339,gill-francis,United Kingdom,GBR,York,-1.0743052444639218,53.96565785,4,participant
340,glado718,Kenya,KEN,Nairobi,36.8288420082562,-1.3026148499999999,6,participant
341,glado718,Kenya,KEN,Nairobi,36.8288420082562,-1.3026148499999999,7,facilitator
342,gladys-jerono-rotich,Kenya,KEN,Nairobi,36.8288420082562,-1.3026148499999999,7,mentor
343,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,5,mentor
344,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,5,mentor
345,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,2,expert
346,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,4,expert
347,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,4,mentor
348,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,6,expert
349,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,6,mentor
350,graciellehigino,Canada,CAN,Vancouver,-123.113952,49.2608724,7,mentor
351,gugy89,,,,,,5,expert
352,guille1107,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,4,participant
353,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,5,expert
354,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,2,expert
355,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,3,expert
356,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,4,expert
357,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,1,expert
358,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,1,mentor
359,ha0ye,United States,USA,Gainesville,-82.3249846,29.6519684,6,expert
360,harinilakshminarayanan,Switzerland,CHE,Zurich,8.5410422,47.3744489,6,participant
361,harinilakshminarayanan,Switzerland,CHE,Zurich,8.5410422,47.3744489,7,mentor
362,harisood,,,,,,6,participant
363,harpreetsingh05,India,IND,Jalandhar,75.576889,31.3323762,3,expert
364,harpreetsingh05,India,IND,Jalandhar,75.576889,31.3323762,3,participant
365,harpreetsingh05,India,IND,Jalandhar,75.576889,31.3323762,3,mentor
