,name,participants,mentors,description,cohort,keywords,status,collaboration
10,Oxford Neuroscience Open Science Co-ordinator: Changing Culture,Cassandra Gould Van Praag,Naomi Penfold,"The <a href=""https://www.win.ox.ac.uk/"">Wellcome Centre for Integrative Neuroscience (WIN)</a> and other centres in Oxford Neuroscience recently received large awards which include substantial components of open science. These centres have thus far focused on developing the infrastructure required to share data and tools, and are now ready to turn their attention to the ethical, ecological and social challenges of supporting the uptake of open science practices. I have been recruited as an Open Science Co-ordinator for Oxford Neuroscience, to work between departments and alongside partners in other institutions to develop policies and recommendations for good governance that work for individual facilities (e.g. WIN), across departmental boundaries within medical sciences (e.g. Oxford Neuroscience), and then beyond into the wider University and national networks. The aim is to develop an open science community through an understanding of the principles of behavior change, including recognizing scientific and individual risks and benefits for research participants, researchers (at all levels), and the institution.
",1,,graduated,
11,AMRITA: an online database for herbal medicine,"Anunya Opasawatchai, David Chentanaman",Holger Dinkel,"In South East Asia, herbal medicine has been used over the century as preventive and therapeutics intervention. However, due to the scarcity of scientific evidence, the use of herbal medicines is limited to local wisdom. Several constraints such as the absence of funding, patent issues, and most importantly, the lack of modern scientific approaches have prevented the pathway to this gold mine of drug discovery. Here, we propose the development of AMRITA, an online web-based library of medicinal herbs that include their phylogeny, medicinal properties, known active components and related scientific literatures that is open publicly to the research community world-wide. This platform would facilitate the collaboration of researchers across the fields of biological, pharmaceutical, and clinical sciences in establishing a solid foundation of medicinal plants and enabling the use of these plants in modern medicine.
",1,,graduated,
12,How to build an healthy and open lab,Elsa Loissel,"Daniela Saderi, Patricia Herterich","I would like to create a one-stop shop for new life science PIs who want to start their labs using principles, resources and practices found in the open space, but who may struggle to find and access this content themselves. More importantly, I would like to design an efficient communication strategy to bring this relevant content to young PIs in a way that saves them time and energy. This would first require understanding what PIs most needed when they started (and therefore which already existing resources are actually useful), and how it should be delivered to them - in which form, through which channels (e.g. young PIs newsletter), at what time(s). Then, I would like to curate existing content, repackage it in an easily accessible and “digestable” form, add to it, but also create readily usable tools (e.g. templates - not just things people have to read). Topics would include how to work openly and inclusively (e.g. lab codes of conduct, lab manuals, leading inclusive meetings, setting up a healthy lab culture etc.); how to do research open (preprints, toolkits with software to work open, project management tools etc.); how to train the next generation of open scientists; and how to open your work to the public. Finally, I would like to approach organisations and institutions to help more young PIs get access to these resources.
",1,,graduated,
13,Benchmarking environment for bioinformatics tools,Zoe Chervontseva,Luis Pedro Coelho,"The aim of this project is to provide a flexible protocol and unified instruments for iterative benchmarking of bioinformatics tools solving various problems. The results of benchmarking for each particular task are to be published as a blog post. The posts are to be automatically updated each time somebody provide new data on the performance of any considered tool. There should be an ability to add new tools as well as new datasets to an existing comparison.
",1,,graduated,
14,EDAM ontology,Matúš Kalaš,Björn Grüning,"<a href=""https://edamontology.org/page"">EDAM ontology</a> is a long-established project, defining a common, controlled vocabulary in the form of a network of concepts and terms. <a href=""https://ifb-elixirfr.github.io/edam-browser/#topic_0091"">EDAM</a> covers topics, operations, types of data, and data formats used in computational life science, i.e. in analysis of biological data, with some bias towards molecular life science and cellular bioimaging. Bioimage informatics was the first larger extension of EDAM beyond mainstream bioinformatics and computational biology, with highly successful development model engaging a broad community of bioimaging and bioimage analysis experts. The <a href="""">EDAM-bioimaging</a>
 work was initiated by Jon Ison, Josh Moore, and others, and I have been
responsible for its further coordination.<br>
EDAM is used in applications such as registries of computational tools or training materials (contributing to open science), in the Common Workflow Language (<a href=""https://www.commonwl.org/"">CWL</a>), or in automated workflow composition. It is also in the process of implementation in various parts of the <a href=""https://galaxyproject.org/"">Galaxy project</a>. EDAM is developed in a transparent and participatory manner, similar to modern open source software (it is available under CC BY-SA).<br>
The goal of this concrete mentorship project is to further extend EDAM, so that other communities can benefit from it, and from the applications and use cases it fosters.
",1,,graduated,
15,Improving Documentation for Open Data and Software in the Agricultural Research Community,"Kristina Riemer, David LeBauer, Emily Cain, Jorge Barrios",Katrin Leinweber,"We are members of the Data Infrastructure for Agriculture Group at <a href=""https://www.arizona.edu/"">The University of Arizona</a>. Our mission is to provide scientists with open software, data, and computing that improves development of productive and sustainable agricultural systems. One of our persistent hurdles has been enabling and motivating the community to use our software and data.<br>
To address this, our project will focus on improving documentation for data and software that our group develops, as well as identifying and sharing best practices with the broader community. We will include the <a href=""https://docs.terraref.org/"">TERRA REF project</a>, which produces high-resolution sensor data on crop plants, and the <a href=""https://osf.io/xdkcy/wiki/home/"">drone pipeline</a>, which automates steps in the use of drones to study crops. Both projects produce open data (CC0 and CC-BY) and software (MIT/BSD compatible).<br>
Our goal is to make our products more usable for our intended audience, which is primarily scientists across a range of disciplines from computer science to remote sensing. We plan to have each person in the group complete a sub-project that can be finished in 15 weeks. Each sub-project would result in an accompanying blog post describing the best practices implemented.
",1,,graduated,
16,Improving open platform accessibility,Christine Rogers,Hao Ye,"I'm a member of the technical team for LORIS (github.com/aces/loris), an open-source neuroinformatics platform that allows researchers to collaboratively collect, curate and share data on the brain, behaviour and genes.<br>
Aside from Jupyter notebooks, gitlab, and a few platforms that focus on data storage and linear processing paths, it can be hard to find platforms where researchers can safely collaborate with real transparency, while sharing as they go through a data collection lifecycle the actual workflows of their open science practices. I work already with an open-source project that provides these tools, but our platform can be challenging to adopt for new projects without dedicated technical resources, given the depth of knowledge and time required.<br>
My objective for this project is to begin tackling this from a few angles, including documentation, publication, and nudges in our code development process. I believe it is feasible in this timeline to also pilot open tools with a new project or as an extension to an existing project -- to start putting this idea into action. What problem(s)
",1,,graduated,
17,Enabling open science practices in biology education,Sandy Kawano,Fotis Psomopoulos,"The proposed project would establish a foundation for developing a tutorial on training researchers in biology to adopt more open science practices. The main goal would be to design a website (e.g., through GitHub) that would contain different chapters on how to accomplish different open science achievements (e.g., designing a Code of Conduct for collaboration, developing a data management plan, setting up an Open Lab Notebook) and that could be easily cloned to their personal websites and modified for their specific purposes. As an extension, I am hoping that this could then be expanded into a university course for undergraduate and/or graduate students or even as a workshop that could be help at different education centers, museums, or conferences. Not only would this allow junior faculty to get on the right foot of developing an open and inclusive lab, it would also help train the next generation of open scientists who trained under the faculty member. By making these resources freely available, it would also help maintain open lines of communication between lab members and make sure that expectations of the faculty mentor and student / staff mentees are fully transparent so that the mentoring process can be improved for science mentees.
",1,,graduated,
18,Open Science UMontreal (OSUM),"Samuel Guay, Danny Colin",Andrew Stewart,"In 2019, we founded Open Science UMontreal (OSUM) because we believe in an Open by Design approach when it comes to Science. As a student initiative, we want to establish an inclusive and collaborative community where students and researchers at all stages of their careers feel welcome to learn, share, and discuss open science values, principles, and practices. By raising awareness of current issues, we hope this project will instigate a culture shift and help people realize how they can immediately benefit from using open and reproducible practices. As open science is a broad and wide-ranging concept with domain-specific definitions, we want to provide opportunities to meet and encourage the exchange of ideas within and across fields because we can all learn from each other. Throughout the Open Life Science mentorship program, we will focus on laying the foundations of our initiative by developing our web platform and organizing some-on campus activities. <br> Ultimately, we aim to facilitate networking between local ""open initiatives"" through <a href=""https://openscience.ca/"">Open Science Canada</a>. Inspired by the <a href=""https://www.anzopenresearch.org/"">Australia and New Zealand Open Research Network</a> and the <a href=""https://openscience-utrecht.com/"">Open Science Communities</a> in Europe, we hope that Open Science Canada will draw together like-minded people across the country and foster collaborations and the sharing of open resources and knowledge. <br> If you're reading this and you're interested in open research feel free to come chat with us on <a href=""https://chat.openscience.ca"">chat.openscience.ca</a>, an open-source alternative to Slack! We want to get to know you (and your initiative)!
",1,,graduated,
19,Creating network of Data Champions at the library of Free University of Amsterdam,Lena Karvovskaya,Patricia Herterich,"From February 1st I am starting a new position as community manager RDM at the library of Free University of Amsterdam (VU). My ultimate goal is to bridge the gap between researchers and support personal by creating opportunities for networking and collaboration. The project that I would like to develop as part of the Innovation Leaders programme is setting up a network of Data Champions. Data Champions are local community member willing to share their discipline-specific expertise with colleagues; they advocate good RDM practice and advise and proper handling of research data.<br> Similar programs have been launched at the University of Cambridge, TU Delft, and Wageningen University. The main goal of the Data Champion programme is to drive cultural change towards open science and open data.
",1,,graduated,
20,Practical Guide to Reproducibility in Bioinformatics,Sangram Sahu,Hans-Rudolf Hotz,"Reproducibility in life science always been in debate.
Althogly lately standard practices have adopted in different aspects,
sometimes these might not practically applicable by the end researcher.
Reproducibility practices need to be used by all, then only it will be
successful in both ends (research producer and research reader).
To bridge this gap, a lot of practical training is required.
This is where this project comes in picture.
Here we aim of creating training materials for doing
reproducible research in a more practical and application-oriented way
with a specific focus on niche areas of respective research
(for now bioinformatics as a starting point).
Not only limited to materials, as well as virtual training
by promoting the practuce of creating and sharing of Computational
Environment and Analysis in a reproducible manner with systems in scaling.
",2,,graduated,
21,Mapping Science using Open Scholarship,Stefan Gaillard,"Malvika Sharan, Yo Yehudi","I want to work out a way to use data visualization to map the current state
of scientific knowledge within the life sciences.
Some literature on mapping science already exists, but most was written before
the machine learning revolution. The more contemporary literature suffers
from other mistakes, such as flawed comparisons of studies (using the same
terminology in different manners) and, most importantly, not all scientific
research is easily available. Thus, Open Science should be an integral
component of any effort to map scientific knowledge. In this project, I
aim to outline which Open Science practices currently exist that facilitate
the mapping of science, which Open Science practices are needed to facilitate
the mapping of science and how a prototype for a collaborative effort to map
science could look like.
",2,,,
22,Creating community awareness of open science practices in phytolith research,Emma Karoune,Yvan Le Bras,"I have been conducting my own research to assess the state of data sharing
in phytolith analysis. The results show that data sharing practices are
minimal (articles are currently being written!). Therefore, I am aware that
my discipline needs to focus on open science practices to develop more
transparent and robust methodologies. I want to raise awareness of the need
for open science practices, initially focusing on data sharing. This will
involve distributing my current research findings widely through blogs and
conference talks, and these efforts will enable the formation of community
connections to initiate a working group for open science in my field.
There are currently working groups for nomenclature and morphometrics in
phytolith analysis as part of the International Phytolith Society. Initial
efforts of the working group would be to investigate the best ways to share
data, developing resources/training opportunities for students and early
career researchers, and recommending/publishing guidelines for colleagues
to follow.
",2,,graduated,
23,Synthetic Biology Chassis Toolkit for Public Domain Use,Stephen Klusza,Anita Bröllochs,"A synthetic biology platform that is compatible with existing and future
public-domain biotechnologies in the Biosafety-Level -1 (BSL-1) organism
Bacillus subtilis. Bacillus subtilis has the ability to secrete biomaterials
outside of the cell and also undergoes sporulation under certain conditions,
which provides a stable way of storing DNA at room temperature without a
need for refrigeration.
Despite the tremendous progress in synthetic biology and biomanufacturing
industries, most innovations are patented with various restrictions on
use and impedes global access and use of these tools. A synthetic biology
toolkit that exclusively uses technologies in the public domain is the first
step towards providing scientists and non-scientists the tools to conduct
science and create valuable biomaterials for their communities without restriction.
",2,,graduated,
24,Creating a single pipeline for metagenome classification,Muhammet Celik,Mallory Freeberg,"Metagenomics has been increasingly becoming very important in studies of
human and animal health. It has become clear that bacteria in and on our
bodies are very significant. Thus there is a big boost in science society
who are willing to study metagenomics. When we want to do downstream analysis
in our microbial community, the first step is to find out about our community,
what the community ultimately looks like. My idea is that benchmark the state
of the art tools (such as Kraken2, Centrifuge and CLARK) and create a single
pipeline that will produce a single pdf file with cutoff-significance-sensitivity
values for each tool. Later we can set that pipeline on web-based system that
would make the researchers easier for the scientists.
",2,,graduated,
25,Chronic Learning,Bailey Harrington,Piraveen Gopalasingam,"Chronic Learning is an open resource for academics and individuals who are
trying to teach or learn something new; the scope is not limited to science.
The project currently consists of a WordPress site (unlaunched), a Dropbox
for material storage, and a Twitter account for dissemination. I own the
copyright for all of the materials, and they are free to use for academic
purposes, such as lecture slides or handouts. The materials are made up of
a mixture of graphical abstracts, tutorials, and reference pdfs; I hope to
incorporate more formats, such as videos, as well.
",2,,graduated,
26,Open Innovation in Life Sciences,"Joyce Kao, Christina Ambrosi",Aidan Budd,"Open Innovation in Life Sciences is an open science organization that
promotes the practice of open science in the Zurich-area life science
research community. We are a bottom-up approach focusing on early career
researchers (ECRs) that complements the Swiss national and institutional
top-down open science initiatives. We are currently establishing an official
Swiss association in collaboration with Life Science Zurich and expanding
our program to include open science workshops/courses for ECRs and public
lectures to complement our annual conference and keep the discussion on
open science active all year round. The association will be operated by
ECRs working with a board of academic and industry leaders thus it doubles
as a career training program adding hands-on experience of practicing soft
skills (e.g. teamwork, communication, etc.) and learning non-scientific
expertise (e.g. project management, budgeting, advertising, etc.) to
enhance traditional Ph.D. and Postdoctoral training.
",2,,graduated,
27,Using collective action to change cultural norms and drive progress in the life sciences,Cooper Smout,"Luis Pedro Coelho, Lilian Juma","Open Science practices have the potential to benefit everyone in the life
science community (and broader society), but their adoption is limited by
incentive structures that reward ‘fast’ and unreliable science at the
individual level. ‘Crowd-acting’ platforms (e.g., Kickstarter, Collaction)
can overcome such collective action problems by organising ‘pledges’ for a
particular behaviour, which are only acted on if and when a predetermined
critical mass of support is met. By protecting individuals’ interests until
such time that they have the support of their community, crowd-acting
platforms can thus resolve the collective action problem and increase the
uptake of the beneficial behaviour in question. Similarly, Project Free Our
Knowledge aims to organise collective action in the global research
community. Researchers can create and sign campaigns asking their peers to
adopt a new behaviour, but only act on that pledge if a certain threshold
of support is met (e.g., 1000 signatures). If and when the threshold is
reached, everyone who has signed that campaign will be listed on the website
and directed to carry out the new behaviour in unison, with the protection
of their peers.
",2,,graduated,
28,Developing the Research Software and Systems Engineering Community to support Life Sciences in Africa,"Peter van Heusden, Eugene de Beste","Mesfin Diro, Raniere Silva","Bioinformatics and other computational life sciences (e.g. disease modelling)
rely on computing infrastructure built and maintained by software engineers
and sysadmins/systems engineers. The [RSSE Africa (Research Software & Systems
Engineers) forum](https://rsse-africa.sanbi.ac.za/) was established last year
just prior to the [ASBCB conference](https://www.iscb.org/iscbafrica2019) to
provide a home for people whose main contribution to research is software and
computing systems. The aim for 2020 is to grow the project in terms of
visibility and participation.
",2,,,
29,Growing the Galaxy Community,Beatriz Serrano-Solano,Dave Clements,"Galaxy is an open-source framework that enables scientists to perform
computational biology analysis. A worldwide community supports the Galaxy
project providing tools, workflows, computational resources and training
materials in many different scientific areas. At the beginning of
September 2020, I’ll be starting a new position at the University
of Freiburg to help with the community management within the European
Galaxy team. European Galaxy community has grown both in number and
fields, standing in need of coordination across several countries that
need to work collaboratively to achieve common goals. My new role will
include the responsibility of coordinating the European Galaxy and
scientific community as well as strengthening the relationship with the
Australian community, helping build the Asian and African communities,
and event organisation around Bioconda, BioContainers and Galaxy. With
this personal project, I would like to advance my community building and
project management skill while enhancing the connection with the
communities outside Europe.
",2,,graduated,
30,"Global land-use and land-cover data under historical, current, and future climatic conditions for ecologists",Tainá Rocha,"Bruno Soares, Yvan Le Bras","Land-Use Land-cover (LULC) data are important predictors of species
occurrence and biodiversity threats. Although there are LULC datasets
available for ecologists under current conditions, there is a lack of
such data under past and future climatic conditions. This hinders
projecting the predictions from niche and distribution models over
global change scenarios at different time periods. The Land Use
Harmonization Project ([LUH2](https://luh.umd.edu/data.shtml)) is a global
dataset in raster format covering continental areas, and provides massive
LULC data from 850 to 2300. However, these data are compressed in a file
format (NetCDF) that are intractable by most ecologists. We aim to selected
the most useful LULC data for ecologists, transformed the existing dataset
into regular GIS formats and derived new LULC data often used in
macroecology and ecological niche modeling and provide this data LULC data
for thirty-seven time slices from year 900 to 2100, with the following
temporal resolution - every 100 years from 900 to 1950, every 10 years from
1950 to 2010, and every five years from 2010 to 2300.
",2,,graduated,
31,BioLab Open Source Projects,"Boï Kone, Bakary N'tji Diallo",Delphine Lariviere,"BioLab Open Source Projects is the beginning of a platform where biomedical
researchers, and computer scientists will work closely with to solve some
main tropical infectious diseases through collaboration and sharing ideas.
Being the main source of problems in Africa, tropical diseases are
affecting the socio-economic development of this part of the world. The
time is now the raise the state of the consciousness of the problem by
creating an environment where the only interest is sharing. Sharing ideas,
knowledge, skills, and opportunities about biology. The main challenge in
African biomedical research science is the lack of resources and sharing
skills, especially amount young generation of the scientist whom most of
the time doesn’t have the orientation and necessary information to address.
The project stands to build a community around the main challenge surrounding
tropical infectious diseases as Malaria, Tuberculosis… To tackle this challenge
of the biological understanding of the proportion of burden, the need for more
training prospective and collaboration between students, young researchers,
and potential supervising programs. We will try to build an open-source
project around these challenges to better understand these diseases'
interaction modes with drugs via bioinformatics tools. The benefit will
provide training support to the students, young researchers together and
bring solutions for general health problems, and be able to share them on
collaboration purposes and training.
",2,,,
32,Target approach in the stages of liver cirrhosis to reverse back in good condition,Wasifa Rahman,"Sonika Tyagi, Malvika Sharan","This is a brand new project for the target approach in the stages of liver
cirrhosis. This project will identify the significant reasons behind
developing cirrhosis and to prevent that staging development in continuation
of this damage. The major focuses to reverse the damage into healthy
condition are the enzymes, mutations, snp, genetic factors related to
disease progression. These are the key aspects to target the stages of
liver cirrhosis and to identify there role to a healthy growing liver or
decrease there damaging features.
",2,,,
33,Science For All (Sci4All) - Citizens' daily problem solving by engaging multidisciplinary scientific communities,"Teresa Laguna, Laura Judith Marcos-Zambrano",Katharina Lauer,"The project concept is to establish a collaboration between the general
public and scientists, where the citizens can expose their daily issues and
scientists can collaborate to try to find solutions for them. For that purpose,
we aim to establish a multidisciplinary scientific network who help citizens
to improve their daily life.
To start the project, we think it is more appropriate to first create
local communities, starting in Madrid as it the location of the applicants.
In the future, the local network can be expanded or occasionally contact
other local communities, such as the ones already established by means of
this program (Barcelona, Utrecht, Montreal), to work collaboratively in
global public issues. Connections with companies can also be established
(for example, to help in the production of prototypes) but with the
requirement of use open licenses and follow the precepts of this program.
",2,,graduated,
34,Supervised Classification with UMAP and Network Propagation,"Joel Hancock, Markus Kirolos Youssef",Markus Löning,"Using UMAP and network propagation to make a fast, accurate and
interpretable supervised learning algorithm. We will benchmark our
novel method against other state-of-the art machine learning algorithms
using image analysis data, and other single-cell readouts.
Supervised tasks using features with many artifacts and strange
distributions and are typically solved using computationally intensive
neural nets. This kind of data frequently occurs in morphological image
analysis and bioinformatics generally.
We would like to apply the technique to different datasets, investigate
its theoretical underpinnings and see whether GPUs and other computational
resources can be leveraged to improve the speed of classifications.
Publish the results in an open science journal and make the code available
to the community.
",2,,,
35,Building a Database for Open Access Immunology Pre-prints and Publications on COVID-19,"Harriet Natabona Mukhongo, Brenda Muthoni, Jelioth Muthoni",Naomi Penfold,"This project aims to develop a database of open-access Immunology
pre-prints and publications on COVID-19. As the COVID-19 pandemic unfolds,
scientists are working round-the-clock to generate data, resulting in an
upsurge of information on various aspects of the virus. Various publishers
such as Lancet, Elsevier, Oxford, New England Journal of Medicine (NEJM),
Nature, have open access early journal releases and publications on a wide
range of fields covering the COVID-19 topic. Many efforts are still underway
to develop a feasible vaccine with trials taking place at different research
centers globally. An open repository of open access pre-prints and journal
articles in the area of COVID-19 immunology and vaccinology will easily
connect researchers on current data available for efficient communication
of scientific research and open science principles. The repository will be
divided into subsections of publications from the 7 continents to be able
to easily identify how the disease is affecting different geographical
locations.
",2,,graduated,
36,Sharing 3D Modeling Workflows for Biomechanists and Palaeontologists,"Eva Herbst, Dylan Bastiaans",Holger Dinkel,"We recently received some funding from our university to host a workshop
about 3D modeling methods for biomechanics. This sparked the idea of creating
some sort of online database of workflows in our field. This website will
serve early career researchers or researchers starting out with biomechanical
analyses, or those wishing to switch their workflows (for example to be more
freeware based). Currently there is a need for a central repository of such
workflows. Usually they are only circulated within lab groups or between
collaborators. However, an online hub with modeling resources would
significantly reduce the time researchers need to invest in choosing
programs and figuring out how to set up their models, giving them more
time to do research and develop new methods. For this project, we
specifically want to build a website with open source workflows, tips and
tricks for setting up models for finite element analysis, as well as other
3D workflows (such as fossil reconstruction in freeware programs).
",2,,graduated,
37,Open Science Office Hours to support trainees in Montreal to help make their research more open and reproducible,Kendra Oudyk,Andrew Stewart,"The goal of this project is to establish Open-Science Office Hours, a
meeting space where students in Montreal can come throughout the year
to get help making their research more open and reproducible. This
initiative will promote Open Education in life science, particularly in
the area of neuroimaging data science. Students in this field often learn
hard skills in open science at weekend workshops, summer schools, and
hackathons, but there is a gap in the learning experience regarding
long-term support. The main measurable outcome of this project would be
having a group of senior trainees who take turns hosting Open-Science
office hours at regular intervals throughout the year. These meetings
would take place virtually and/or in person in Montreal, Canada (depending
on COVID-19).
Although we hope to spark this initiative, it would need community support
to be sustainable. In the first stage, I would welcome collaborators to
help plan. Later, we would need support in the form of funding so that we
can compensate TA’s; this would help enable less-privileged trainees to get
involved as TA's. Finally, we would need to recruit the TA's. Thus, this
project will involve community contributions at all stages, in various capacities.
",2,,graduated,
